prioridade;empresa;categoria;cidade;estado;telefone_empresa;site;tipo_site;industria_snov;prospects_snov;emails_snov;contato_1_nome;contato_1_cargo;contato_1_linkedin;contato_2_nome;contato_2_cargo;contato_2_linkedin;contato_3_nome;contato_3_cargo;contato_3_linkedin;fit_score;fonte_busca;maps_url;emails_publicos;urls_verificadas
2;Plastix Indústria e Comércio de Plásticos;Empresa de fabricação de plástico;Feira de Santana;Bahia;+55 75 3625-7666;http://www.plastix.com.br/;Site próprio;Plastics;1;0;Lucas Lima;Eletricista industrial;https://www.linkedin.com/in/lucas-lima-8690a9210;;;;;;;10;indústria de plástico em Feira de Santana BA;https://www.google.com/maps/search/?api=1&query=Plastix%20Ind%C3%BAstria%20e%20Com%C3%A9rcio%20de%20Pl%C3%A1sticos&query_place_id=ChIJU9sDiW42FAcR9IQonfSnuuM;;http://www.plastix.com.br | http://www.plastix.com.br/contato | http://www.plastix.com.br/contatos | http://www.plastix.com.br/contact
1;Inplasf Indústria de Plásticos;Empresa de fabricação de plástico;Feira de Santana;BA;+55 75 3622-1044;http://www.inplasfindustria.com.br/;Site próprio;;;;;;;;;;;;;10;indústria de plástico em Feira de Santana BA;https://www.google.com/maps/search/?api=1&query=Inplasf%20Ind%C3%BAstria%20de%20Pl%C3%A1sticos&query_place_id=ChIJv2v2P0Q2FAcRSaaGn0k2eUw;;http://www.inplasfindustria.com.br | http://www.inplasfindustria.com.br/contato | http://www.inplasfindustria.com.br/contatos | http://www.inplasfindustria.com.br/contact
3;Gênesis-Indústria de Plásticos Reforçados;Empresa de fabricação de plástico;Feira de Santana;BA;+55 75 3322-3757;http://www.multcaixa.com.br/;Site próprio;Plastics;5;1;theo alves;Representante comercial;https://www.linkedin.com/in/theo-alves-15697a184;;;;;;;9;indústria de plástico em Feira de Santana BA;https://www.google.com/maps/search/?api=1&query=G%C3%AAnesis-Ind%C3%BAstria%20de%20Pl%C3%A1sticos%20Refor%C3%A7ados&query_place_id=ChIJDWhv1Uk2FAcRUgqiuhZHSQI;;http://www.multcaixa.com.br | http://www.multcaixa.com.br/contato | http://www.multcaixa.com.br/contatos | http://www.multcaixa.com.br/contact
8;Distribuidora Irmãos Delova;Fornecedor de alimentos e bebidas para catering;Campinas;São Paulo;+55 19 3368-1651;https://distribuidorairmaosdelova.com.br/;Site próprio;Food & Beverages;1;0;Kiara Mahlow Lourenço Delova;Administrativo;https://www.linkedin.com/in/kiara-mahlow-lourenço-delova-940160187;;;;;;;8;distribuidora de alimentos em Campinas SP;https://www.google.com/maps/search/?api=1&query=Distribuidora%20Irm%C3%A3os%20Delova&query_place_id=ChIJV7HauD3JyJQRxXUpszoWF0A;;https://distribuidorairmaosdelova.com.br | https://distribuidorairmaosdelova.com.br/contato | https://distribuidorairmaosdelova.com.br/contatos | https://distribuidorairmaosdelova.com.br/contact
9;Estrela Distribuidora de Alimentos;Fornecedor de alimentos e bebidas para catering;Campinas;São Paulo;+55 19 3267-8011;http://www.estrelacampinas.com.br/;Site próprio;Restaurants;1;0;Lívia Maiône;Representante de atendimento ao cliente corporativo;https://www.linkedin.com/in/lívia-maiône-354669297;;;;;;;8;distribuidora de alimentos em Campinas SP;https://www.google.com/maps/search/?api=1&query=Estrela%20Distribuidora%20de%20Alimentos&query_place_id=ChIJz6YdXOHIyJQRpSmTMB5ONLw;contato@estrelacampinas.com.br;http://www.estrelacampinas.com.br | http://www.estrelacampinas.com.br/contato | http://www.estrelacampinas.com.br/contatos | http://www.estrelacampinas.com.br/contact
10;Fator Distribuidora de Auto Peças;Atacadista;Campinas;São Paulo;+55 19 3342-5565;http://www.fatordistribuidora.com.br/;Site próprio;Wholesale;42;14;Henrique Bernardes Ferreira;Gerente comercial;https://www.linkedin.com/in/henrique-bernardes-ferreira-7a3278221/;Karina Diniz;Gerente de vendas;https://www.linkedin.com/in/karina-diniz-98451a185;Jonatan Tiago da Silva;Gerente administrativo;https://www.linkedin.com/in/jontsilva;8;distribuidora de autopeças em Campinas SP;https://www.google.com/maps/search/?api=1&query=Fator%20Distribuidora%20de%20Auto%20Pe%C3%A7as&query_place_id=ChIJOwXC-JjIyJQRbT0oHyyTpJU;;http://www.fatordistribuidora.com.br | http://www.fatordistribuidora.com.br/contato | http://www.fatordistribuidora.com.br/contatos | http://www.fatordistribuidora.com.br/contact
13;MULTCAIXA;Empresa de fabricação de plástico;Feira de Santana;Bahia;+55 75 3025-6935;http://www.multcaixa.com.br/;Site próprio;Plastics;5;1;theo alves;Representante comercial;https://www.linkedin.com/in/theo-alves-15697a184;;;;;;;8;indústria de plástico em Feira de Santana BA;https://www.google.com/maps/search/?api=1&query=MULTCAIXA&query_place_id=ChIJ-SNd0Jo3FAcRHl7CjNQ-W34;;http://www.multcaixa.com.br | http://www.multcaixa.com.br/contato | http://www.multcaixa.com.br/contatos | http://www.multcaixa.com.br/contact
14;Pingo Distribuidora;Fornecedor de bebidas;Feira de Santana;Bahia;+55 75 3322-5886;http://www.pingodistribuidora.com.br/;Site próprio;Food & Beverages;8;2;Mirez Barreto;Analista de marketing comercial;https://www.linkedin.com/in/mirez-barreto-8715b3237;;;;;;;8;distribuidora em Feira de Santana BA;https://www.google.com/maps/search/?api=1&query=Pingo%20Distribuidora&query_place_id=ChIJPZGa-zs4FAcRTb9fGyjrWv8;wps@pingodistribuidora.com.br;http://www.pingodistribuidora.com.br | http://www.pingodistribuidora.com.br/contato | http://www.pingodistribuidora.com.br/contatos | http://www.pingodistribuidora.com.br/contact
15;RIBERBÃO ATACADO;Fornecedor de materiais de construção;Ribeirão Preto;São Paulo;+55 16 3639-9338;http://www.riberbaoatacado.com.br/;Site próprio;Building Materials;4;1;Julio Guillens;Gerente de vendas;https://www.linkedin.com/in/julio-guillens-a0584225;Marcos Sobreira Uliana;Gerente;https://www.linkedin.com/in/marcos-sobreira-uliana-35473143;;;;8;atacado material de construção em Ribeirão Preto SP;https://www.google.com/maps/search/?api=1&query=RIBERB%C3%83O%20ATACADO&query_place_id=ChIJ8f0CUN2VuZQRKyS3mK1uLzM;comercial@riberbaoatacado.com.br;http://www.riberbaoatacado.com.br | http://www.riberbaoatacado.com.br/contato | http://www.riberbaoatacado.com.br/contatos | http://www.riberbaoatacado.com.br/contact
16;Roles Autopeças;Atacadista;Campinas;São Paulo;+55 19 2101-6060;http://roles.com.br/;Site próprio;Automotive;97;147;Artur Carvalho;Coordenador de vendas;https://www.linkedin.com/in/artur-carvalho-451534176;Guilherme Martins Pereira;Coordenador de vendas;https://www.linkedin.com/in/guilherme-martins-pereira-062524119;Luiz Mauro Mocci Jr.;Coordenador de vendas;https://www.linkedin.com/in/luiz-mauro-mocci-jr;8;distribuidora de autopeças em Campinas SP;https://www.google.com/maps/search/?api=1&query=Roles%20Autope%C3%A7as%20-%20Filial%20Campinas&query_place_id=ChIJj3Quf4zGyJQRjitpVGIPeqw;;http://roles.com.br | http://roles.com.br/contato | http://roles.com.br/contatos | http://roles.com.br/contact
