priority_query,company_name,category,city,state,website,phone,address,rating,reviews_count,google_maps_url
Atacadista em Ribeirão Preto SP,Atacadão - Ribeirão Preto Via Norte,Atacadista,Ribeirão Preto,São Paulo,https://www.atacadao.com.br/,+55 16 3995-6925,"Av. Eduardo Andréia Matarazzo, 4015 - Ipiranga, Ribeirão Preto - SP, 14060-810, Brasil",4.4,5821,https://www.google.com/maps/search/?api=1&query=Atacad%C3%A3o%20-%20Ribeir%C3%A3o%20Preto%20Via%20Norte&query_place_id=ChIJk80gBHaVuZQRabXl2bGXjvA
Atacadista em Ribeirão Preto SP,Assaí Atacadista - Ribeirão Preto,Atacadista,Ribeirão Preto,São Paulo,https://www.assai.com.br/loja/assai-limeira,+55 16 3211-5706,"Av. Pres. Castelo Branco, 2395 - Parque Industrial Lagoinha, Ribeirão Preto - SP, 14095-000, Brasil",4.4,2914,https://www.google.com/maps/search/?api=1&query=Assa%C3%AD%20Atacadista%20-%20Ribeir%C3%A3o%20Preto&query_place_id=ChIJ4Q2YLlbHuZQREv67RZWqnxM
Atacadista em Ribeirão Preto SP,Assaí Atacadista,Atacadista,Ribeirão Preto,São Paulo,https://www.assai.com.br/loja/assai-presidente-prudente,+55 16 3624-8654,"Av. Treze de Maio, 92 - 94/96 - Jardim Paulistano, Ribeirão Preto - SP, 14090-260, Brasil",4.2,2346,https://www.google.com/maps/search/?api=1&query=Assa%C3%AD%20Atacadista&query_place_id=ChIJGS4iWgW_uZQRoUbKotl__Zs
Atacadista em Ribeirão Preto SP,Superatacado Tonin - Ribeirão Preto - Caramuru,Atacadista,Ribeirão Preto,São Paulo,https://www.supertonin.com.br/,+55 16 3323-3600,"Av. Caramuru, 3666 - Jardim Sumare, Ribeirão Preto - SP, 14025-710, Brasil",4.5,1351,https://www.google.com/maps/search/?api=1&query=Superatacado%20Tonin%20-%20Ribeir%C3%A3o%20Preto%20-%20Caramuru&query_place_id=ChIJV3J0Zbi-uZQRhXaniX6BbRQ
Atacadista em Ribeirão Preto SP,Assaí Atacadista,Atacadista,Ribeirão Preto,São Paulo,https://www.assai.com.br/,+55 16 3968-6200,"Av. Pres. Castelo Branco, 50 - Jardim Palma Travassos, Ribeirão Preto - SP, 14091-285, Brasil",4.3,1049,https://www.google.com/maps/search/?api=1&query=Assa%C3%AD%20Atacadista&query_place_id=ChIJGSYC-M-_uZQRkVTsgZef1KI
Atacadista em Ribeirão Preto SP,Tenda Atacado - Ribeirão Preto,Atacadista,Ribeirão Preto,São Paulo,http://www.tendaatacado.com.br/,+55 16 3961-9560,"Av. Mal. Costa e Silva, 1231 - Campos Elísios, Ribeirão Preto - SP, 14080-130, Brasil",3.8,765,https://www.google.com/maps/search/?api=1&query=Tenda%20Atacado%20-%20Ribeir%C3%A3o%20Preto&query_place_id=ChIJhypIQEy-uZQRFJbPiw26xds
Indústria em Feira de Santana BA,Nestlé,Fabricante,Feira de Santana,Bahia,http://www.nestle.com.br/,+55 75 3604-0700,"Av. Eduardo Fróes da Mota, 7777 - Conceição, Feira de Santana - BA, 44100-000, Brasil",4.2,681,https://www.google.com/maps/search/?api=1&query=Nestl%C3%A9&query_place_id=ChIJFbcdyAQ4FAcRHvOuUxDKYxk
Transportadora em Salvador BA,Braspress Transportes Urgentes | Salvador - SSA,Serviço de entrega,Salvador,Bahia,https://www.braspress.com/,+55 71 3291-6700,"R. José Roberto Otoni, 772 - Valéria, Salvador - BA, 41301-325, Brasil",3,528,https://www.google.com/maps/search/?api=1&query=Braspress%20Transportes%20Urgentes%20%7C%20Salvador%20-%20SSA&query_place_id=ChIJOTGqTGgRFgcR-fdQqXA7JWM
Distribuidora em Campinas SP,Sul Mantiqueira Distribuidora de Bebidas | Parque Prado,Distribuidora de bebidas,Campinas,São Paulo,https://sulmantiqueira.com/,+55 19 99665-7505,"Av. Washington Luíz, 1273 - Vila Marieta, Campinas - SP, 13042-105, Brasil",4.9,332,https://www.google.com/maps/search/?api=1&query=Sul%20Mantiqueira%20Distribuidora%20de%20Bebidas%20%7C%20Parque%20Prado&query_place_id=ChIJvZSu6Z_PyJQRvKhByFM3Eyg
Transportadora em Salvador BA,CVE - Mudanças em Salvador - BA - Mudanças e Transportes em Salvador - BA,Serviço de transporte e armazenamento de móveis,Salvador,Bahia,http://www.cvetransporte.com.br/,+55 71 99189-0136,"Tv. Acalanto, 714 - Jardim das Margaridas, Salvador - BA, 41502-135, Brasil",4,242,https://www.google.com/maps/search/?api=1&query=CVE%20-%20Mudan%C3%A7as%20em%20Salvador%20-%20BA%20-%20Mudan%C3%A7as%20e%20Transportes%20em%20Salvador%20-%20BA&query_place_id=ChIJt2wjF8gEFgcR45V2xYiCUDU
